,Complexity,Real_Fake,Political,TextUppercase,TextLowercase,text,label
411,Simple,Real,No,No,No,"Profa: Porniti camerele sa va vad
Eu care de abia m-am trezit:",Surprise
265,Simple,Fake,Yes,No,No,PSD PSD PSD Razand biciuim moravurile,Sadness
57,Simple,Real,No,No,No,"Mihai, tu mi-ai pus praf saharian pe Logan?!",Surprise
199,Simple,Fake,No,No,No,Când mama intră în camera mea după ce am facut curat,Surprise
175,Simple,Fake,No,Yes,No,MOMENTUL ĂLA CÂND NU ȘTII DACĂ MAI E CUTREMUR SAU E DOAR PULSUL,Anger
24,Simple,Real,No,Yes,No,AI TĂI DUPĂ CE TE ÎNTORCI LA ȘCOLALĂ,Joy
17,Combination,Real,No,No,No,"Big Mac 
Sarma",Joy
66,Combination,Real,No,No,No,"PROFESOARA DE FRANCEZĂ: SCRIEȚI UN ESEU DE 3 PAGINI! 
EU: 
Google Translate 
Ctrl V",Joy
418,Combination,Fake,No,No,No,Când te cheamă bietii la furat dar mă-ta nu te lasă să iesi din casă,Sadness
86,Simple,DeepFake,Yes,No,No,"Azi de dimineață într-un apartament din București 
Hooo, Nicușor!",Surprise
31,Combination,DeepFake,Yes,Yes,No,"AVEȚI COVRIGEI LA 1 LEU? 
DA! 
CÂT COSTĂ?",Surprise
84,Simple,Real,No,No,No,"Când ajungi prima oară în Cluj 
recorder 
Mai este mult până la metrou?",Anger
316,Combination,Fake,Yes,No,No,De la putere la decadere,Fear
443,Simple,Real,No,No,No,Eu asteptând sã îmi dai mesaj,Sadness
192,Simple,Real,No,Yes,No,MĂ ÎNRTEB CE I-A SPUS FRIZERULUI,Surprise
117,Simple,Fake,No,No,No,Prietenul tău care a venit cu 2 alți băieți la petrecerea ta,Surprise
94,Simple,Real,Yes,Yes,No,"DAN BARNA, CITIND ZIARUL.",Surprise
250,Simple,Real,Yes,No,No,Se unde știu că demiterea lui VeVe o măsură bună? Fiindcă deranjează. PROFU' de sănătate publică,Joy
438,Combination,Real,No,Yes,No,"NU IMI PASA DE TRECUTUL TAU
TRECUTUL EI:",Surprise
249,Combination,Real,Yes,Yes,No,PNL USR PLUS UDMR,Surprise
452,Simple,Fake,No,Yes,No,"""VREAU SI EU O EMOLOAICA DIN AIA""",Love
237,Simple,Real,No,No,No,Toți merităm respect!,Joy
220,Simple,Real,No,No,No,Ce aveti fără zahăr și să nu îngrașe? Șervețele!,Surprise
104,Simple,Real,No,No,No,eu: putem sa ne oprim la McDrive? maica-mea: avem McDrive acasa  McDrive acasa:,Surprise
297,Simple,Real,Yes,No,No,IOHANIS Dezbinarea-i arma mea.. EU SUNT PRINCIPALUL PERICOL PENTRU ROMANIA!,Joy
5,Simple,DeepFake,No,Yes,No,"SPALATORIE DE PACATE  
SPALATORIE DE PACATE 
SPALATORIE DE PACATE CU AGHEASMA SUB PRESIUNE",Surprise
116,Simple,Fake,No,No,No,Mamele uitându-se la copiii lor cum cresc și se duc la facultate:,Sadness
