,Complexity,Real_Fake,Political,TextUppercase,TextLowercase,Original_text,Text,len_values,period_ratio,question_ratio,exclamation_ratio,ellipses_ratio,lex_prediction1,confidence1,lex_prediction2,confidence2,Complexity_Combination,Complexity_Simple,Real_Fake_DeepFake,Real_Fake_Fake,Real_Fake_Real,lex_prediction1_Negative,lex_prediction1_Neutral,lex_prediction1_Positive,lex_prediction2_anger,lex_prediction2_fear,lex_prediction2_joy,lex_prediction2_love,lex_prediction2_sadness,lex_prediction2_surprise,bert_s1,bert_s2,bert_s1_Negative,bert_s1_Positive,bert_s2_Joy,bert_s2_Sadness,bert_s2_Surprise,Sentiment1,Sentiment2
0,['Combination'],['Fake'],1,1,0,"PROTESTELE DIN FRANTA
PROTESTELE DIN ROMANIA","THE PROTESTS FROM FRANCE
PROTESTS FROM ROMANIA",0.18181818181818182,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,4
1,['Combination'],['Fake'],1,0,1,"cine e impotriva pensiilor  speciale
cine vrea sa protesteze impotriva pensiilor speciale","who is against special pensions
who wants to protest against special pensions",0.29545454545454547,0.0,0.0,0.0,0.0,['Positive'],1.0,['joy'],0.6666666666666666,1,0,0,1,0,0,0,1,0,0,1,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
2,['Simple'],['Real'],0,0,0,"Închiriez apartament cu 2 camere, recent renovat, situat într-o zonă bună, utilat, etc. 
Preț: 1000 de euro pe lună, nu se negociază, rog seriozitate.","I rent a 2-room apartment, recently renovated, located in a good area, equipped, etc. 
Price: 1000 euros per month, non-negotiable, seriousness please.",0.8181818181818182,1.0,0.0,0.0,0.0,['Positive'],1.0,"['fear', 'joy', 'love', 'sadness', 'surprise']",0.2,0,1,0,0,1,0,0,1,0,1,1,1,1,1,['Negative'],['Surprise'],1,0,0,0,1,2,4
3,['Simple'],['Real'],1,0,0,"Eu, uitându-mă pe ultimele sondaje politice din România:","Me, looking at the latest political polls in Romania:",0.25,0.0,0.0,0.0,0.0,['Neutral'],1.0,['sadness'],0.6666666666666666,0,1,0,0,1,0,1,0,0,0,0,0,1,0,['Negative'],['Surprise'],1,0,0,0,1,2,0
4,['Simple'],['Real'],0,0,0,"Dorel electricianul : *Face o improvizație la sistemul electric* 
Eu, pe patul de ATI :","Dorel the electrician: *Improvises the electrical system* 
Me, on the bed of ATI:",0.4318181818181818,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.6666666666666666,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,1
5,['Simple'],['DeepFake'],0,1,0,"SPALATORIE DE PACATE  
SPALATORIE DE PACATE 
SPALATORIE DE PACATE CU AGHEASMA SUB PRESIUNE","LAUNDRY OF SINS  
LAUNDRY OF SINS 
PACKAGE WASHER WITH AGHEASMA UNDER PRESSURE",0.3181818181818182,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,5
6,['Combination'],['Fake'],0,0,0,Când încerci să înțelegi logica șoferilor care claxonează deși semaforul este roșu,When you try to understand the logic of drivers honking even though the traffic light is red,0.38636363636363635,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,0
7,['Simple'],['Real'],0,1,0,EU EXPLICANDU-LE ROMANILOR CA NU E OK SA FACA MISTO CAND ESTE UN SUBIECT SERIOS,ME EXPLAINING TO THE ROMANIANS THAT IT IS NOT OK TO MAKE FUN WHEN IT IS A SERIOUS SUBJECT,0.4318181818181818,0.0,0.0,0.0,0.0,['Positive'],0.6666666666666666,"['joy', 'love']",0.5,0,1,0,0,1,0,0,1,0,0,1,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,0
8,['Combination'],['Fake'],0,0,1,"de post 
vegan","of post 
vegan",0.09090909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,['Negative'],['Sadness'],1,0,0,1,0,0,0
9,['Combination'],['Fake'],0,0,1,"5 lei în copilărie 
50 de lei în adolescență 
2000 de lei în viața de adult","5 lei in childhood 
50 lei in adolescence 
2000 lei in adult life",0.3409090909090909,0.0,0.0,0.0,0.0,['Neutral'],1.0,['joy'],0.6666666666666666,1,0,0,1,0,0,1,0,0,0,1,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
