,ID,Text,Extension,Complexity,Real_Fake,Sentiment1,Sentiment2,Political,Width,Height,Channels,Mime,ImageFileSize,TextSizeChar,TextSizeBytes,TextUppercase,TextLowercase
0,100001,"PROTESTELE DIN FRANTA
PROTESTELE DIN ROMANIA",jpg,Combination,Fake,Negative,Sadness,Yes,597,435,3,image/jpeg,28090,44,44,Yes,No
1,100002,"cine e impotriva pensiilor  speciale
cine vrea sa protesteze impotriva pensiilor speciale",jpg,Combination,Fake,Negative,Sadness,Yes,591,487,3,image/jpeg,50369,89,89,No,Yes
2,100003,"Închiriez apartament cu 2 camere, recent renovat, situat într-o zonă bună, utilat, etc. 
Preț: 1000 de euro pe lună, nu se negociază, rog seriozitate.",jpg,Simple,Real,Negative,Sadness,No,584,477,3,image/jpeg,38837,150,157,No,No
3,100004,"Eu, uitându-mă pe ultimele sondaje politice din România:",jpg,Simple,Real,Negative,Anger,Yes,567,504,3,image/jpeg,47183,56,59,No,No
4,100005,"Dorel electricianul : *Face o improvizație la sistemul electric* 
Eu, pe patul de ATI :",jpg,Simple,Real,Negative,Fear,No,592,487,3,image/jpeg,37580,87,88,No,No
5,100006,"SPALATORIE DE PACATE  
SPALATORIE DE PACATE 
SPALATORIE DE PACATE CU AGHEASMA SUB PRESIUNE",jpg,Simple,DeepFake,Neutral,Surprise,No,571,313,3,image/jpeg,26712,90,90,Yes,No
6,100007,Când încerci să înțelegi logica șoferilor care claxonează deși semaforul este roșu,jpg,Combination,Fake,Negative,Anger,No,545,484,3,image/jpeg,38267,82,91,No,No
7,100008,EU EXPLICANDU-LE ROMANILOR CA NU E OK SA FACA MISTO CAND ESTE UN SUBIECT SERIOS,jpg,Simple,Real,Negative,Anger,No,593,454,3,image/jpeg,60691,79,79,Yes,No
8,100009,"de post 
vegan",jpg,Combination,Fake,Neutral,Anger,No,595,449,3,image/jpeg,31532,14,14,No,Yes
9,100010,"5 lei în copilărie 
50 de lei în adolescență 
2000 de lei în viața de adult",jpg,Combination,Fake,Negative,Sadness,No,551,512,3,image/jpeg,49992,75,82,No,Yes
10,100011,"Amator ,,Banii sau viața!"" 
Profesionist ,,Semnează aici pentru încheierea acordului de vasalitate""",jpg,Combination,Real,Negative,Sadness,No,502,512,3,image/jpeg,31951,99,102,No,No
11,100012,Aicea merge niște porumb,jpg,Simple,Fake,Negative,Surprise,Yes,590,443,3,image/jpeg,60873,24,25,No,No
12,100013,"UBB: -Ai plagiat 
Politician român",jpg,Simple,Fake,Negative,Fear,Yes,495,517,3,image/jpeg,48502,34,35,No,No
13,100014,"LIDL 
RONALDO 
7",jpg,Simple,DeepFake,Neutral,Surprise,No,552,498,3,image/jpeg,38214,16,16,Yes,No
