,Complexity,Real_Fake,Sentiment1,Sentiment2,Political,TextUppercase,TextLowercase,Original_text,Text
0,Combination,Fake,Negative,sadness,Yes,Yes,No,"PROTESTELE DIN FRANTA
PROTESTELE DIN ROMANIA","THE PROTESTS FROM FRANCE
PROTESTS FROM ROMANIA"
1,Combination,Fake,Negative,sadness,Yes,No,Yes,"cine e impotriva pensiilor  speciale
cine vrea sa protesteze impotriva pensiilor speciale","who is against special pensions
who wants to protest against special pensions"
2,Simple,Real,Negative,sadness,No,No,No,"Închiriez apartament cu 2 camere, recent renovat, situat într-o zonă bună, utilat, etc. 
Preț: 1000 de euro pe lună, nu se negociază, rog seriozitate.","I rent a 2-room apartment, recently renovated, located in a good area, equipped, etc. 
Price: 1000 euros per month, non-negotiable, seriousness please."
3,Simple,Real,Negative,anger,Yes,No,No,"Eu, uitându-mă pe ultimele sondaje politice din România:","Me, looking at the latest political polls in Romania:"
4,Simple,Real,Negative,fear,No,No,No,"Dorel electricianul : *Face o improvizație la sistemul electric* 
Eu, pe patul de ATI :","Dorel the electrician: *Improvises the electrical system* 
Me, on the bed of ATI:"
5,Simple,DeepFake,Neutral,surprise,No,Yes,No,"SPALATORIE DE PACATE  
SPALATORIE DE PACATE 
SPALATORIE DE PACATE CU AGHEASMA SUB PRESIUNE","LAUNDRY OF SINS  
LAUNDRY OF SINS 
PACKAGE WASHER WITH AGHEASMA UNDER PRESSURE"
6,Combination,Fake,Negative,anger,No,No,No,Când încerci să înțelegi logica șoferilor care claxonează deși semaforul este roșu,When you try to understand the logic of drivers honking even though the traffic light is red
7,Simple,Real,Negative,anger,No,Yes,No,EU EXPLICANDU-LE ROMANILOR CA NU E OK SA FACA MISTO CAND ESTE UN SUBIECT SERIOS,ME EXPLAINING TO THE ROMANIANS THAT IT IS NOT OK TO MAKE FUN WHEN IT IS A SERIOUS SUBJECT
8,Combination,Fake,Neutral,anger,No,No,Yes,"de post 
vegan","of post 
vegan"
9,Combination,Fake,Negative,sadness,No,No,Yes,"5 lei în copilărie 
50 de lei în adolescență 
2000 de lei în viața de adult","5 lei in childhood 
50 lei in adolescence 
2000 lei in adult life"
10,Combination,Real,Negative,sadness,No,No,No,"Amator ,,Banii sau viața!"" 
Profesionist ,,Semnează aici pentru încheierea acordului de vasalitate""","Amateur ""Money or life!"" 
Professional ""Sign here to conclude the vassalage agreement"""
11,Simple,Fake,Negative,surprise,Yes,No,No,Aicea merge niște porumb,There goes some corn
12,Simple,Fake,Negative,fear,Yes,No,No,"UBB: -Ai plagiat 
Politician român","UBB: -You plagiarized 
Romanian politician"
13,Simple,DeepFake,Neutral,surprise,No,Yes,No,"LIDL 
RONALDO 
7","LIDL 
RONALDO 
7"
14,Simple,Real,Positive,joy,No,No,No,După atâția ani de matematica am găsit radacina pătrată,After so many years of math I found the square root
15,Simple,Real,Negative,anger,Yes,Yes,No,LE-AM SPUS APOI CA NU VOM MAI EXTINDE SCHENGEN PANA NU SECURIZAM GRANITELE,THEN I TOLD THEM THAT WE WILL NOT EXTEND SCHENGEN UNTIL WE SECURE THE BORDERS
16,Simple,Fake,Negative,sadness,Yes,No,No,Așteptând să vină apa caldă,Waiting for the hot water to come on
17,Combination,Real,Positive,joy,No,No,No,"Big Mac 
Sarma","Big Mac 
Wire"
18,Simple,Fake,Neutral,fear,Yes,No,No,"69 
”Greu de ucis”","69 
""Hard to Kill"""
19,Simple,Real,Negative,anger,No,Yes,No,CINE NU IUBESTE SIMPLITATEA DE LA APPLE?,WHO DOESN'T LOVE SIMPLICITY FROM APPLE?
20,Simple,Real,Neutral,joy,No,No,No,Pentru cine a zis ca matematica nu e folositoare,For those who said that mathematics is not useful
21,Simple,Real,Negative,anger,No,Yes,No,"SĂ VEZI CE O SĂ SE BUCURE ȘEFU' 
CĂ AM AJUNS PRIMII LA LOCUL ACCIDENTULUI","SEE WHAT THE BOSS WILL ENJOY 
THAT WE ARRIVED FIRST AT THE SCENE OF THE ACCIDENT"
22,Combination,Fake,Negative,anger,Yes,No,No,"Știi să furi? 
Da 
Ești angajat! 
Guvernu României","Do you know how to steal? 
Yes 
You are hired! 
Government of Romania"
23,Simple,Real,Positive,surprise,No,No,No,"Maestre, da-mi un sfat bun pentru zilele noastre 
Oriunde te-ai duce, 
nu uita incarcatorul","Master, give me good advice for our day 
wherever you go 
don't forget the charger"
24,Simple,Real,Positive,joy,No,Yes,No,AI TĂI DUPĂ CE TE ÎNTORCI LA ȘCOLALĂ,YOURS AFTER YOU GO BACK TO SCHOOL
25,Simple,Real,Neutral,surprise,No,No,No,"Intervievatorul: Ai vreo experiență în rol de conducere? 
Eu: Păi, sunt adminul unui grup de Whatsapp.","Interviewer: Do you have any experience in a leadership role? 
Me: Well, I am the admin of a Whatsapp group."
26,Simple,Fake,Negative,sadness,No,Yes,No,CUM NUMĂRĂ UN INGINER OILE CÂND VREA SĂ ADOARMĂ,HOW AN ENGINEER COUNTS SHEEP WHEN HE WANTS TO SLEEP
27,Simple,Real,Negative,fear,No,Yes,No,"BAC 
TU","ferry 
YOU"
28,Combination,Real,Negative,anger,No,No,No,Rasismul explcat idioților,Racism explained to idiots
29,Simple,Real,Positive,joy,No,Yes,No,"DE 1 IUNIE 
SĂ NU UITĂM DE CEI MICI","FROM JUNE 1 
LET'S NOT FORGET THE LITTLE ONES"
30,Combination,Real,Negative,surprise,No,Yes,Yes,"007 
0,7","007 
0.7"
31,Combination,DeepFake,Negative,surprise,Yes,Yes,No,"AVEȚI COVRIGEI LA 1 LEU? 
DA! 
CÂT COSTĂ?","DO YOU HAVE PRETIES FOR 1 LEU? 
YES! 
HOW MUCH DOES IT COST?"
32,Simple,Real,Negative,surprise,No,No,No,"Sunt pe dieta! 
Mănânc doar morcovi","I'm on a diet! 
I only eat carrots"
33,Combination,Real,Positive,love,No,No,No,"UNDE SE AFLA FRANTA? 
AICI 
UNDE SE AFLA BRAZILIA?
AICI 
UNDE SE AFLA Oltenia? 
AICI","WHERE IS FRANCE? 
HERE 
WHERE IS BRAZIL?
HERE 
WHERE IS Oltenia? 
HERE"
34,Simple,Real,Negative,fear,No,No,No,Următorul task este să îți faci temele fără acces la internet,The next task is to do your homework without internet access
35,Simple,Real,Neutral,surprise,No,Yes,No,FRATE?,BROTHER?
36,Combination,Real,Negative,anger,No,Yes,Yes,"2022 
2024","2022 
2024"
37,Combination,Real,Neutral,surprise,No,No,No,"Ce folosesc pentru a face duș:
 Femeile:
 Bărbații:
 BALSAM
 Mămăligă cu brânză de capră","What I use to shower:
 Women:
 Men:
 BALM
 Polenta with goat cheese"
